"Age","Region","YearsExperience","YearsCurrentJob","JobDescription","JobType","Happiness","Income","Gender","SwitchedJobsLast6Months"
"37 - 40","GBA","10+","6 - 7","Team Leader Infraestructura","Full-Time",4,52000,"M",0
"31 - 33","CABA","5 - 7","3 - 4","Developer","Freelance",4,29000,"M",0
"50+","CABA","10+","8 - 9","SysAdmin / DevOps","Full-Time",4,28571.4285714286,"M",0
"31 - 33","CABA","8 - 10","7 - 8","SysAdmin / DevOps","Full-Time",4,48000,"M",0
"24 - 26","CABA","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",4,28571.4285714286,"M",0
"31 - 33","CABA","10+","Menos de un año","Developer","Full-Time",5,79244.2857142857,"M",1
"31 - 33","CABA","8 - 10","Menos de un año","SysAdmin / DevOps","Full-Time",5,41700,"M",0
"27 - 30","CABA","5 - 7","4 - 5","Infosec","Full-Time",2,35000,"M",0
"27 - 30","CABA","3 - 5","Menos de un año","Networking","Full-Time",3,30714.2857142857,"M",0
"31 - 33","Santa Fe","8 - 10","4 - 5","Developer","Full-Time",3,29285.7142857143,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Infosec","Full-Time",1,17142.8571428571,"M",0
"27 - 30","CABA","1 - 2","Menos de un año","Developer","Full-Time",2,17857.1428571429,"F",1
"31 - 33","CABA","5 - 7","Menos de un año","Developer","Full-Time",4,34285.7142857143,"M",0
"34 - 36","CABA","8 - 10","1 - 2","SysAdmin / DevOps","Full-Time",3,35714.2857142857,"M",1
"27 - 30","Rio Negro","3 - 5","3 - 4","Networking","Full-Time",4,32142.8571428571,"M",0
"27 - 30","CABA","8 - 10","6 - 7","SysAdmin / DevOps","Full-Time",2,25714.2857142857,"M",0
"24 - 26","GBA","3 - 5","1 - 2","Developer","Full-Time",3,22857.1428571429,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Soporte de it","Full-Time",2,16142.8571428571,"M",0
"24 - 26","Misiones","3 - 5","2 - 3","Developer","Full-Time",3,19914.2857142857,"M",0
"24 - 26","CABA","3 - 5","4 - 5","Developer","Full-Time",3,30000,"F",0
"41 - 45","CABA","10+","2 - 3","Developer","Full-Time",3,30000,"M",0
"31 - 33","CABA","8 - 10","1 - 2","DBA","Full-Time",2,32000,"M",0
"27 - 30","CABA","3 - 5","1 - 2","Developer","Full-Time",3,25714.2857142857,"M",0
"31 - 33","CABA","5 - 7","1 - 2","Developer","Full-Time",3,31000,"M",0
"24 - 26","GBA","5 - 7","2 - 3","QA / Tester","Full-Time",2,20714.2857142857,"M",0
"27 - 30","GBA","8 - 10","Menos de un año","SysAdmin / DevOps","Full-Time",4,22000,"M",1
"31 - 33","Cordoba","3 - 5","3 - 4","Developer","Full-Time",3,24285.7142857143,"M",0
"37 - 40","CABA","10+","1 - 2","Developer","Full-Time",2,29000,"M",0
"27 - 30","CABA","5 - 7","1 - 2","Designer","Full-Time",4,38000,"M",0
"34 - 36","CABA","5 - 7","1 - 2","c0nsu1t0r sap","Full-Time",3,35714.2857142857,"M",0
"27 - 30","GBA","3 - 5","3 - 4","Developer","Full-Time",1,11428.5714285714,"M",0
"27 - 30","Santa Fe","8 - 10","5 - 6","Encargado de Tecnología","Full-Time",3,18571.4285714286,"M",0
"41 - 45","CABA","10+","10+","Market research","Full-Time",3,27000,"F",0
"24 - 26","Misiones","1 - 2","1 - 2","Networking","Full-Time",3,24537.1428571429,"M",0
"24 - 26","Corrientes","3 - 5","3 - 4","Designer","Full-Time",3,37857.1428571429,"M",0
"27 - 30","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",2,28571.4285714286,"M",1
"24 - 26","GBA","3 - 5","3 - 4","Developer","Full-Time",3,25714.2857142857,"M",0
"24 - 26","CABA","5 - 7","3 - 4","SysAdmin / DevOps","Full-Time",3,32000,"M",0
"21 - 23","CABA","3 - 5","2 - 3","HelpDesk","Full-Time",3,25000,"M",0
"31 - 33","CABA","8 - 10","1 - 2","SysAdmin / DevOps","Full-Time",2,30000,"M",0
"27 - 30","CABA","5 - 7","2 - 3","Developer","Full-Time",3,39000,"M",0
"21 - 23","CABA","1 - 2","Menos de un año","Developer","Full-Time",3,20000,"F",1
"31 - 33","GBA","8 - 10","6 - 7","Developer","Full-Time",2,45714.2857142857,"M",0
"34 - 36","CABA","3 - 5","2 - 3","QA / Tester","Full-Time",4,28571.4285714286,"M",0
"27 - 30","CABA","5 - 7","1 - 2","TL","Full-Time",2,35714.2857142857,"M",0
"27 - 30","Cordoba","5 - 7","3 - 4","Developer","Full-Time",3,42857.1428571429,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","SysAdmin / DevOps","Full-Time",5,28800,"M",1
"31 - 33","Cordoba","3 - 5","3 - 4","Networking","Full-Time",4,28571.4285714286,"M",0
"31 - 33","GBA","5 - 7","1 - 2","QA / Tester","Full-Time",2,30000,"M",0
"31 - 33","Cordoba","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",3,22857.1428571429,"M",0
"27 - 30","CABA","5 - 7","6 - 7","SysAdmin / DevOps","Full-Time",2,23285.7142857143,"M",0
"27 - 30","CABA","5 - 7","1 - 2","Developer","Full-Time",2,19000,"M",0
"27 - 30","GBA","3 - 5","2 - 3","Networking","Full-Time",2,15428.5714285714,"M",0
"31 - 33","CABA","10+","3 - 4","Networking","Full-Time",3,37142.8571428571,"M",0
"24 - 26","Santa Fe","3 - 5","2 - 3","Developer","Full-Time",3,19428.5714285714,"M",0
"27 - 30","CABA","3 - 5","3 - 4","HelpDesk","Full-Time",1,17000,"M",0
"24 - 26","Mendoza","3 - 5","1 - 2","Developer","Full-Time",3,11857.1428571429,"M",0
"37 - 40","CABA","10+","10+","SysAdmin / DevOps","Full-Time",4,30000,"M",0
"27 - 30","Misiones","8 - 10","6 - 7","HelpDesk","Full-Time",2,18571.4285714286,"M",0
"21 - 23","CABA","Menos de un año","Menos de un año","Consultor BI","Full-Time",3,20428.5714285714,"M",0
"27 - 30","CABA","1 - 2","1 - 2","Developer","Full-Time",4,28571.4285714286,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","Gestion de soporte","Full-Time",1,35000,"M",0
"27 - 30","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",3,18142.8571428571,"M",0
"18 - 20","GBA","Menos de un año","Menos de un año","HelpDesk","Full-Time",3,16392.8571428571,"M",0
"27 - 30","CABA","8 - 10","Menos de un año","Middleware","Full-Time",2,26000,"M",1
"41 - 45","GBA","10+","6 - 7","Servidores/Virtualizacion/Networking Manager","Full-Time",3,58571.4285714286,"M",0
"37 - 40","CABA","8 - 10","4 - 5","SysAdmin / DevOps","Full-Time",3,29000,"M",0
