"Age","Region","YearsExperience","YearsCurrentJob","JobDescription","JobType","Happiness","Income","Gender","SwitchedJobsLast6Months"
"21 - 23","GBA","3 - 5","2 - 3","SysAdmin / DevOps","Part-Time",4,9714.28571428572,"M",0
"37 - 40","Neuquen","5 - 7","3 - 4","Developer","Full-Time",2,25714.2857142857,"M",0
"31 - 33","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",3,21428.5714285714,"M",0
"27 - 30","Santa Fe","8 - 10","8 - 9","Developer","Full-Time",3,25142.8571428571,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","HelpDesk","Part-Time",5,12142.8571428571,"M",0
"24 - 26","GBA","3 - 5","1 - 2","Infosec","Full-Time",3,22000,"M",0
"24 - 26","CABA","5 - 7","Menos de un año","Developer","Full-Time",4,40000,"M",0
"34 - 36","GBA","8 - 10","9 - 10","Developer","Full-Time",3,38571.4285714286,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Infosec","Full-Time",2,28428.5714285714,"M",0
"24 - 26","Corrientes","Menos de un año","Menos de un año","SysAdmin / DevOps","Part-Time",1,6428.57142857143,"M",0
"27 - 30","GBA","10+","1 - 2","HelpDesk","Full-Time",3,22857.1428571429,"M",0
"27 - 30","CABA","8 - 10","9 - 10","HelpDesk","Full-Time",3,15000,"M",0
"37 - 40","CABA","10+","7 - 8","PM","Full-Time",3,31428.5714285714,"M",0
"37 - 40","GBA","10+","1 - 2","HelpDesk","Full-Time",3,25714.2857142857,"M",0
"31 - 33","CABA","8 - 10","4 - 5","QA / Tester","Full-Time",4,45714.2857142857,"M",0
"31 - 33","CABA","10+","10+","SysAdmin / DevOps","Full-Time",2,27714.2857142857,"M",0
"27 - 30","CABA","3 - 5","Menos de un año","SysAdmin / DevOps","Full-Time",3,28142.8571428571,"M",0
"27 - 30","CABA","3 - 5","4 - 5","Designer","Full-Time",2,8000,"M",0
"31 - 33","CABA","5 - 7","4 - 5","Developer","Full-Time",4,31428.5714285714,"M",0
"31 - 33","Cordoba","5 - 7","5 - 6","Developer","Full-Time",3,21942.8571428571,"M",0
"27 - 30","GBA","5 - 7","3 - 4","Developer","Part-Time",4,20571.4285714286,"M",0
"24 - 26","Neuquen","3 - 5","1 - 2","HelpDesk","Full-Time",4,28571.4285714286,"M",0
"27 - 30","Cordoba","10+","2 - 3","Networking","Full-Time",3,18000,"M",1
"27 - 30","CABA","3 - 5","1 - 2","Telecomunicaciones","Full-Time",2,20000,"M",1
"24 - 26","GBA","3 - 5","1 - 2","Developer","Full-Time",3,24285.7142857143,"M",0
"31 - 33","Mendoza","10+","1 - 2","Soporte it","Full-Time",1,12857.1428571429,"M",0
"31 - 33","CABA","10+","1 - 2","HelpDesk","Full-Time",3,12000,"M",0
"27 - 30","CABA","3 - 5","3 - 4","Developer","Full-Time",2,25714.2857142857,"F",0
"27 - 30","CABA","5 - 7","1 - 2","HelpDesk","Part-Time",1,12857.1428571429,"M",0
"21 - 23","GBA","3 - 5","2 - 3","Networking","Part-Time",2,20000,"M",0
"18 - 20","CABA","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",4,14285.7142857143,"M",0
"21 - 23","CABA","3 - 5","4 - 5","Developer","Full-Time",4,35714.2857142857,"M",0
"31 - 33","CABA","10+","8 - 9","Designer","Full-Time",2,25000,"M",0
"21 - 23","Chubut","Menos de un año","Menos de un año","SysAdmin / DevOps","Full-Time",4,22857.1428571429,"M",0
"31 - 33","Rio Negro","10+","5 - 6","SysAdmin / DevOps","Full-Time",3,21000,"M",0
"27 - 30","GBA","3 - 5","Menos de un año","Developer","Full-Time",3,27142.8571428571,"M",1
"27 - 30","Cordoba","5 - 7","6 - 7","SysAdmin / DevOps","Full-Time",3,21428.5714285714,"M",0
"27 - 30","Cordoba","3 - 5","Menos de un año","PM","Remoto (empresa de otro país)",4,32000,"M",1
"21 - 23","Santa Fe","Menos de un año","Menos de un año","Cajero","Full-Time",3,17857.1428571429,"M",0
"31 - 33","CABA","8 - 10","7 - 8","SysAdmin / DevOps","Full-Time",1,15714.2857142857,"M",0
"31 - 33","CABA","5 - 7","5 - 6","HelpDesk","Full-Time",2,28411,"M",0
"31 - 33","Santa Fe","8 - 10","8 - 9","HelpDesk","Full-Time",3,22857.1428571429,"M",0
"31 - 33","CABA","3 - 5","1 - 2","DBA","Full-Time",3,27500,"M",0
"21 - 23","CABA","3 - 5","4 - 5","SysAdmin / DevOps","Full-Time",3,12000,"M",0
"18 - 20","GBA","1 - 2","1 - 2","Developer","Remoto (empresa de otro país)",4,17142.8571428571,"M",1
"31 - 33","GBA","10+","1 - 2","HelpDesk","Full-Time",2,15000,"M",0
"27 - 30","GBA","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",5,30000,"M",1
"37 - 40","GBA","5 - 7","3 - 4","Developer","Full-Time",2,18571.4285714286,"M",0
"21 - 23","GBA","Menos de un año","Menos de un año","HelpDesk","Full-Time",2,12500,"M",1
"24 - 26","CABA","3 - 5","2 - 3","HelpDesk","Full-Time",3,21142.8571428571,"M",0
"34 - 36","CABA","10+","Menos de un año","Networking","Full-Time",3,22000,"M",1
"21 - 23","GBA","1 - 2","1 - 2","Designer","Full-Time",5,15714.2857142857,"M",0
"21 - 23","GBA","Menos de un año","Menos de un año","Developer","Full-Time",1,9285.71428571429,"M",0
"27 - 30","Santa Fe","3 - 5","3 - 4","Developer","Full-Time",5,26000,"M",1
"27 - 30","CABA","8 - 10","2 - 3","SysAdmin / DevOps","Full-Time",2,18571.4285714286,"M",0
"21 - 23","CABA","1 - 2","1 - 2","administativo","Full-Time",3,12142.8571428571,"M",0
"31 - 33","CABA","8 - 10","8 - 9","Developer","Full-Time",3,32857.1428571429,"M",0
"27 - 30","CABA","3 - 5","3 - 4","Middleware","Full-Time",4,24000,"M",0
"41 - 45","CABA","10+","Menos de un año","PM","Full-Time",4,42800,"M",0
"34 - 36","CABA","10+","5 - 6","Networking","Full-Time",4,36500,"M",0
"21 - 23","CABA","1 - 2","1 - 2","QA / Tester","Full-Time",2,12200,"M",0
"27 - 30","Catamarca","5 - 7","7 - 8","Developer","Full-Time",4,18500,"M",0
"27 - 30","Cordoba","8 - 10","4 - 5","SysAdmin / DevOps","Full-Time",3,20142.8571428571,"M",0
"27 - 30","CABA","5 - 7","3 - 4","Developer","Freelance",3,14000,"M",0
"34 - 36","GBA","10+","10+","Jefe de Sistemas","Full-Time",4,58571.4285714286,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,33571.4285714286,"M",0
"21 - 23","Santa Fe","1 - 2","Menos de un año","Designer","Full-Time",3,7000,"F",0
"27 - 30","GBA","3 - 5","1 - 2","Buyer","Full-Time",4,31285.7142857143,"M",0
"27 - 30","Santa Fe","3 - 5","2 - 3","SysAdmin / DevOps","Full-Time",2,18571.4285714286,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,30578.5714285714,"M",0
"31 - 33","CABA","10+","9 - 10","Developer","Full-Time",3,30000,"M",0
"24 - 26","CABA","5 - 7","5 - 6","Developer","Full-Time",4,32000,"M",0
"24 - 26","CABA","3 - 5","3 - 4","HelpDesk","Full-Time",2,19471.4285714286,"M",0
"27 - 30","CABA","3 - 5","1 - 2","Developer","Full-Time",2,17870,"M",0
"31 - 33","CABA","8 - 10","4 - 5","Developer","Full-Time",4,32200,"M",0
"31 - 33","CABA","3 - 5","3 - 4","HelpDesk","Full-Time",1,20714.2857142857,"M",0
"34 - 36","Entre Rios","5 - 7","1 - 2","Developer","Full-Time",4,28571.4285714286,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Remoto (empresa de otro país)",5,41428.5714285714,"M",0
"24 - 26","CABA","5 - 7","Menos de un año","HelpDesk","Full-Time",3,17142.8571428571,"M",1
"24 - 26","GBA","3 - 5","4 - 5","SysAdmin / DevOps","Full-Time",3,18571.4285714286,"M",0
"27 - 30","CABA","5 - 7","6 - 7","Developer","Full-Time",3,20000,"M",0
"31 - 33","CABA","5 - 7","Menos de un año"," functional analyst","Full-Time",2,35714.2857142857,"M",1
"31 - 33","Cordoba","5 - 7","Menos de un año","HelpDesk","Part-Time",2,11428.5714285714,"F",1
"34 - 36","CABA","5 - 7","Menos de un año","HelpDesk","Full-Time",3,20000,"F",0
"24 - 26","CABA","5 - 7","2 - 3","Networking","Full-Time",5,25714.2857142857,"M",0
"31 - 33","CABA","5 - 7","5 - 6","DBA","Full-Time",1,26428.5714285714,"M",0
"31 - 33","Mendoza","3 - 5","Menos de un año","Developer","Remoto (empresa de otro país)",5,62000,"M",0
"34 - 36","GBA","5 - 7","6 - 7","Developer","Full-Time",3,44285.7142857143,"M",0
"24 - 26","CABA","3 - 5","2 - 3","Developer","Full-Time",2,23100,"M",0
"27 - 30","CABA","5 - 7","2 - 3","SysAdmin / DevOps","Full-Time",3,22142.8571428571,"M",0
"27 - 30","Cordoba","3 - 5","4 - 5","Developer","Full-Time",3,19112.8571428571,"M",0
"27 - 30","CABA","8 - 10","2 - 3","Developer","Full-Time",4,45000,"M",0
"31 - 33","CABA","8 - 10","5 - 6","HelpDesk","Full-Time",2,13000,"F",0
"21 - 23","Cordoba","Menos de un año","Menos de un año","Developer","Full-Time",3,13571.4285714286,"M",0
"24 - 26","CABA","5 - 7","1 - 2","Developer","Full-Time",3,41000,"M",0
"37 - 40","La Pampa","10+","10+","HelpDesk","Full-Time",3,21428.5714285714,"M",0
"34 - 36","San Luis","10+","2 - 3","SysAdmin / DevOps","Full-Time",3,22857.1428571429,"M",0
"18 - 20","CABA","3 - 5","1 - 2","Developer","Full-Time",3,13714.2857142857,"M",0
"21 - 23","CABA","3 - 5","2 - 3","Developer","Full-Time",2,22857.1428571429,"M",0
"27 - 30","CABA","8 - 10","1 - 2","Developer","Remoto (empresa de otro país)",4,40000,"M",0
"24 - 26","GBA","3 - 5","3 - 4","Middleware","Full-Time",1,11428.5714285714,"F",0
"46 - 49","GBA","10+","7 - 8","Networking","Full-Time",3,35714.2857142857,"M",0
"37 - 40","Santa Fe","10+","5 - 6","SysAdmin / DevOps","Full-Time",3,26000,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Developer","Full-Time",3,14714.2857142857,"M",0
"24 - 26","CABA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",3,17857.1428571429,"M",0
"21 - 23","GBA","3 - 5","2 - 3","HelpDesk","Full-Time",3,16857.1428571429,"M",1
"24 - 26","CABA","3 - 5","3 - 4","HelpDesk","Full-Time",4,17142.8571428571,"M",0
"50+","GBA","3 - 5","2 - 3","DBA","Part-Time",1,7142.85714285714,"M",0
"24 - 26","La Pampa","8 - 10","4 - 5","Responsable de sistema","Full-Time",3,32857.1428571429,"M",0
"24 - 26","GBA","3 - 5","1 - 2","Developer","Full-Time",4,32857.1428571429,"M",0
"24 - 26","CABA","5 - 7","7 - 8","SysAdmin / DevOps","Full-Time",2,22857.1428571429,"M",0
"21 - 23","CABA","3 - 5","2 - 3","Networking","Full-Time",3,19142.8571428571,"M",0
"21 - 23","CABA","Menos de un año","Menos de un año","Developer","Full-Time",3,18571.4285714286,"F",0
"24 - 26","CABA","3 - 5","3 - 4","HelpDesk","Full-Time",1,19285.7142857143,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Developer","Full-Time",1,8600,"M",0
"27 - 30","CABA","8 - 10","4 - 5","Designer","Full-Time",4,20857.1428571429,"M",0
"31 - 33","CABA","8 - 10","2 - 3","Infraestructura","Full-Time",2,25428.5714285714,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","Developer","Full-Time",4,22857.1428571429,"M",0
"27 - 30","CABA","3 - 5","Menos de un año","Networking","Full-Time",2,17142.8571428571,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","Developer","Full-Time",4,23000,"M",1
"27 - 30","Cordoba","8 - 10","4 - 5","Designer","Freelance",1,8500,"M",0
"34 - 36","CABA","10+","1 - 2","Developer","Full-Time",3,34285.7142857143,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",4,20498,"M",1
"31 - 33","CABA","8 - 10","5 - 6","Analista Funcional","Full-Time",3,20000,"M",1
"21 - 23","Santa Fe","1 - 2","1 - 2","Developer","Part-Time",3,8640,"M",0
"27 - 30","CABA","8 - 10","Menos de un año","Middleware","Full-Time",3,32000,"M",1
"41 - 45","CABA","10+","1 - 2","PM","Full-Time",2,21000,"F",0
"31 - 33","CABA","8 - 10","4 - 5","Developer","Full-Time",4,34000,"M",0
"27 - 30","Santa Fe","8 - 10","3 - 4","Proyectos","Full-Time",2,19285.7142857143,"M",0
"37 - 40","CABA","10+","5 - 6","PM","Full-Time",3,36000,"M",0
"27 - 30","CABA","10+","5 - 6","Networking","Full-Time",2,20000,"M",0
"27 - 30","GBA","3 - 5","3 - 4","SysAdmin / DevOps","Full-Time",3,20000,"M",0
"27 - 30","CABA","3 - 5","1 - 2","SysAdmin / DevOps","Full-Time",1,22857.1428571429,"M",0
"24 - 26","CABA","3 - 5","2 - 3","Developer","Full-Time",1,22431.4285714286,"M",0
"34 - 36","Santa Fe","5 - 7","7 - 8","Developer","Full-Time",3,31428.5714285714,"M",0
"21 - 23","Santa Fe","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",4,14000,"M",0
"31 - 33","Cordoba","10+","3 - 4","Coordinador SysAdmin","Full-Time",2,36000,"M",0
"27 - 30","Mendoza","10+","1 - 2","SysAdmin / DevOps","Full-Time",3,18571.4285714286,"M",0
"24 - 26","GBA","3 - 5","2 - 3","Soporte/BI/DBA","Full-Time",2,21428.5714285714,"F",0
"24 - 26","Cordoba","1 - 2","Menos de un año","Developer","Full-Time",3,17000,"M",1
"24 - 26","GBA","5 - 7","3 - 4","Tecnico Electronico","Full-Time",1,17857.1428571429,"M",0
"34 - 36","CABA","8 - 10","3 - 4","Consultor SAP ","Freelance",4,64285.7142857143,"M",1
"31 - 33","Cordoba","5 - 7","5 - 6","Developer","Full-Time",1,12500,"M",0
"34 - 36","Santa Fe","8 - 10","2 - 3","PM","Full-Time",3,42857.1428571429,"M",0
"27 - 30","CABA","Menos de un año","Menos de un año","Designer","Full-Time",1,16000,"M",0
"24 - 26","CABA","3 - 5","2 - 3","HelpDesk","Full-Time",3,17142.8571428571,"M",0
"31 - 33","Santa Fe","5 - 7","6 - 7","Developer","Part-Time",4,27062.91,"F",0
"24 - 26","Tucuman","5 - 7","Menos de un año","Developer","Remoto (empresa de otro país)",1,12000,"M",0
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",3,17142.8571428571,"M",0
"31 - 33","GBA","10+","10+","PM","Freelance",4,31000,"M",0
"27 - 30","GBA","5 - 7","2 - 3","Developer","Full-Time",3,28000,"M",0
"24 - 26","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",1,16428.5714285714,"M",0
"27 - 30","Cordoba","1 - 2","2 - 3","Developer","Full-Time",2,17662.8571428571,"M",0
"21 - 23","Cordoba","1 - 2","1 - 2","HelpDesk","Full-Time",4,12857.1428571429,"M",0
"50+","CABA","10+","10+","SysAdmin / DevOps","Part-Time",2,14285.7142857143,"M",0
"37 - 40","CABA","10+","7 - 8","DBA","Full-Time",3,24000,"M",0
"31 - 33","GBA","3 - 5","4 - 5","Developer","Freelance",1,9714.28571428572,"M",0
"27 - 30","CABA","5 - 7","5 - 6","Developer","Full-Time",4,41000,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","Developer","Freelance",4,42857.1428571429,"M",0
"34 - 36","GBA","10+","4 - 5","Developer","Full-Time",2,30200,"M",0
"50+","Cordoba","10+","10+","Developer","Freelance",4,25714.2857142857,"M",0
"27 - 30","CABA","8 - 10","Menos de un año","SysAdmin / DevOps","Full-Time",4,37142.8571428571,"M",0
"24 - 26","CABA","1 - 2","1 - 2","HelpDesk","Full-Time",3,14857.1428571429,"M",0
"37 - 40","CABA","10+","10+","Networking","Full-Time",2,17857.1428571429,"M",0
"27 - 30","CABA","3 - 5","1 - 2","DBA","Full-Time",4,16142.8571428571,"M",1
"24 - 26","CABA","1 - 2","1 - 2","QA / Tester","Full-Time",2,13000,"M",0
"27 - 30","CABA","3 - 5","3 - 4","Developer","Full-Time",3,30700,"M",0
"37 - 40","CABA","10+","2 - 3","Infosec","Full-Time",5,90000,"M",0
"18 - 20","CABA","1 - 2","1 - 2","HelpDesk","Full-Time",3,17142.8571428571,"M",0
"21 - 23","CABA","1 - 2","1 - 2","Developer","Full-Time",4,22285.7142857143,"M",0
"27 - 30","CABA","5 - 7","4 - 5","Tech Support","Full-Time",5,27000,"M",0
"27 - 30","GBA","3 - 5","4 - 5","HelpDesk","Part-Time",3,9200,"M",0
"31 - 33","CABA","3 - 5","1 - 2","Developer","Freelance",4,18996,"M",0
"31 - 33","CABA","3 - 5","2 - 3","Networking","Full-Time",3,21000,"M",0
"34 - 36","Tucuman","8 - 10","3 - 4","Developer","Full-Time",3,23000,"M",0
"24 - 26","Entre Rios","5 - 7","3 - 4","SysAdmin / DevOps","Freelance",4,20000,"M",0
"34 - 36","GBA","10+","6 - 7","SysAdmin / DevOps","Full-Time",3,26428.5714285714,"M",0
"37 - 40","Mendoza","10+","4 - 5","tecnico","Full-Time",3,17142.8571428571,"M",0
"31 - 33","GBA","3 - 5","4 - 5","HelpDesk","Full-Time",2,17714.2857142857,"M",0
"41 - 45","CABA","10+","10+","Designer","Part-Time",4,45714.2857142857,"M",0
"21 - 23","Chubut","1 - 2","Menos de un año","SysAdmin / DevOps","Part-Time",3,9000,"M",0
"31 - 33","CABA","5 - 7","4 - 5","SysAdmin / DevOps","Full-Time",3,25700,"M",0
"27 - 30","CABA","3 - 5","1 - 2","QA / Tester","Full-Time",2,15714.2857142857,"M",0
"27 - 30","Cordoba","8 - 10","7 - 8","Developer","Full-Time",1,50000,"M",0
"27 - 30","CABA","5 - 7","5 - 6","HelpDesk","Full-Time",2,17142.8571428571,"M",0
"37 - 40","GBA","5 - 7","1 - 2","SysAdmin / DevOps","Full-Time",3,30000,"M",0
"46 - 49","CABA","10+","8 - 9","SysAdmin / DevOps","Full-Time",3,28714.2857142857,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Support it","Full-Time",3,14285.7142857143,"M",0
"18 - 20","GBA","1 - 2","1 - 2","Atencion","Part-Time",2,8571.42857142857,"M",0
"27 - 30","CABA","5 - 7","Menos de un año","Developer","Full-Time",5,35714.2857142857,"M",1
"21 - 23","GBA","1 - 2","Menos de un año","Designer","Freelance",3,17142.8571428571,"M",0
"21 - 23","Tucuman","Menos de un año","Menos de un año","Soporte técnico ","Part-Time",4,9000,"M",0
"41 - 45","CABA","10+","10+","SysAdmin / DevOps","Full-Time",3,24000,"M",0
"18-","Entre Rios","Menos de un año","Menos de un año","Developer","Freelance",5,46428.5714285714,"M",0
"18 - 20","CABA","Menos de un año","Menos de un año","Auditor IT","Full-Time",4,13142.8571428571,"M",1
"24 - 26","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",1,8000,"M",1
"31 - 33","Cordoba","3 - 5","Menos de un año","QA / Tester","Full-Time",2,21428.5714285714,"F",0
"37 - 40","CABA","8 - 10","5 - 6","Developer","Full-Time",4,39000,"M",0
"24 - 26","GBA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",2,18645,"M",0
"31 - 33","Cordoba","3 - 5","Menos de un año","HelpDesk","Full-Time",5,21428.5714285714,"F",1
"24 - 26","CABA","Menos de un año","Menos de un año","QA / Tester","Full-Time",4,13174.2857142857,"M",0
"27 - 30","GBA","5 - 7","5 - 6","SysAdmin / DevOps","Full-Time",2,12000,"M",0
"31 - 33","CABA","3 - 5","Menos de un año","Developer","Full-Time",4,30000,"M",1
"24 - 26","Santa Fe","1 - 2","1 - 2","HelpDesk","Full-Time",2,15714.2857142857,"M",0
"34 - 36","Neuquen","8 - 10","1 - 2","Project leader ","Full-Time",3,22857.1428571429,"M",0
"31 - 33","GBA","8 - 10","3 - 4","Networking","Full-Time",1,27428.5714285714,"M",0
"37 - 40","CABA","8 - 10","Menos de un año","Developer","Full-Time",3,30000,"M",0
"27 - 30","CABA","3 - 5","3 - 4","Infosec","Full-Time",2,21000,"M",0
"24 - 26","CABA","3 - 5","2 - 3","Analista funcional","Full-Time",4,27000,"M",0
"27 - 30","CABA","8 - 10","Menos de un año","Developer","Full-Time",4,38142.8571428571,"M",1
"27 - 30","CABA","5 - 7","3 - 4","Developer","Full-Time",4,24285.7142857143,"F",0
"27 - 30","CABA","10+","Menos de un año","Responsable de Sistemas","Full-Time",3,25740,"M",1
"27 - 30","CABA","8 - 10","2 - 3","Developer","Full-Time",2,35000,"M",0
"46 - 49","Cordoba","10+","10+","SysAdmin / DevOps","Part-Time",4,35714.2857142857,"M",0
"50+","CABA","10+","6 - 7","DBA","Full-Time",4,39000,"M",0
"24 - 26","GBA","3 - 5","Menos de un año","Developer","Full-Time",3,24285.7142857143,"M",1
"27 - 30","Santa Fe","3 - 5","Menos de un año","Developer","Full-Time",3,31428.5714285714,"M",0
"21 - 23","CABA","Menos de un año","Menos de un año","Developer","Full-Time",1,15618.5714285714,"M",0
"31 - 33","Santa Fe","8 - 10","1 - 2","SysAdmin / DevOps","Full-Time",3,25010,"M",0
"31 - 33","GBA","3 - 5","Menos de un año","Developer","Full-Time",3,15714.2857142857,"M",0
"37 - 40","GBA","10+","10+","Networking","Full-Time",2,16000,"M",0
"21 - 23","CABA","Menos de un año","Menos de un año","fabrica de pastas","Part-Time",4,8000,"M",0
"27 - 30","CABA","3 - 5","2 - 3","QA / Tester","Full-Time",1,16428.5714285714,"M",0
"31 - 33","CABA","5 - 7","1 - 2","HelpDesk","Full-Time",2,19500,"M",0
"24 - 26","Santa Fe","3 - 5","3 - 4","SysAdmin / DevOps","Full-Time",2,18857.1428571429,"M",0
"27 - 30","GBA","5 - 7","5 - 6","Developer","Full-Time",1,19714.2857142857,"M",0
"27 - 30","CABA","1 - 2","1 - 2","Developer","Full-Time",3,20000,"M",0
"27 - 30","Tierra del Fuego","5 - 7","3 - 4","HelpDesk","Full-Time",5,34285.7142857143,"M",0
"27 - 30","CABA","3 - 5","Menos de un año","SysAdmin / DevOps","Full-Time",4,26000,"M",1
"21 - 23","CABA","3 - 5","1 - 2","Developer","Part-Time",4,17142.8571428571,"M",0
"31 - 33","CABA","10+","2 - 3","Networking","Full-Time",2,20000,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","HelpDesk","Full-Time",3,17142.8571428571,"M",0
"24 - 26","CABA","8 - 10","2 - 3","HelpDesk","Full-Time",3,18571.4285714286,"M",0
"27 - 30","GBA","3 - 5","Menos de un año","QA / Tester","Full-Time",2,11300,"M",0
"27 - 30","GBA","3 - 5","1 - 2","operario","Part-Time",2,28571.4285714286,"M",1
"24 - 26","CABA","1 - 2","1 - 2","HelpDesk","Full-Time",2,13285.7142857143,"M",0
"27 - 30","GBA","8 - 10","2 - 3","HelpDesk","Full-Time",2,20000,"M",0
"41 - 45","CABA","10+","2 - 3","SysAdmin / DevOps","Full-Time",3,30000,"M",0
"31 - 33","CABA","5 - 7","6 - 7","SysAdmin / DevOps","Full-Time",4,42857.1428571429,"M",0
"31 - 33","CABA","5 - 7","1 - 2","Networking","Full-Time",4,35714.2857142857,"M",0
"31 - 33","Corrientes","1 - 2","1 - 2","HelpDesk","Full-Time",2,15490,"M",0
"24 - 26","CABA","1 - 2","1 - 2","Seguridad","Full-Time",3,15208.75,"M",0
"37 - 40","Chubut","5 - 7","6 - 7","SysAdmin / DevOps","Full-Time",1,30000,"M",0
"41 - 45","Entre Rios","1 - 2","Menos de un año","PM","Full-Time",3,27142.8571428571,"M",1
"24 - 26","CABA","3 - 5","2 - 3","HelpDesk","Full-Time",3,17571.4285714286,"F",0
"37 - 40","Cordoba","10+","1 - 2","Developer","Full-Time",4,30000,"M",0
"31 - 33","CABA","10+","Menos de un año","HelpDesk","Full-Time",3,16000,"M",1
"31 - 33","GBA","8 - 10","4 - 5","Developer","Freelance",2,20000,"M",1
"24 - 26","CABA","1 - 2","1 - 2","Developer","Part-Time",4,12142.8571428571,"M",0
"27 - 30","CABA","3 - 5","2 - 3","Developer","Full-Time",3,30000,"M",0
"37 - 40","Tierra del Fuego","10+","3 - 4","SysAdmin / DevOps","Full-Time",5,49285.7142857143,"M",0
"27 - 30","GBA","1 - 2","1 - 2","SysAdmin / DevOps","Full-Time",3,17142.8571428571,"M",0
"27 - 30","CABA","10+","6 - 7","Storage / Backup","Full-Time",4,48571.4285714286,"M",0
"37 - 40","CABA","10+","7 - 8","Administrador de infraestructura it","Full-Time",3,34714.2857142857,"M",0
"21 - 23","Rio Negro","1 - 2","1 - 2","Developer","Full-Time",1,20714.2857142857,"M",0
"31 - 33","CABA","10+","7 - 8","Networking","Full-Time",2,14000,"M",0
"34 - 36","CABA","10+","8 - 9","Networking","Full-Time",5,75000,"M",1
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Part-Time",3,12857.1428571429,"M",0
"24 - 26","CABA","8 - 10","Menos de un año","Developer","Full-Time",4,28571.4285714286,"M",1
"27 - 30","CABA","3 - 5","1 - 2","Consultant","Full-Time",2,21428.5714285714,"M",0
"37 - 40","CABA","10+","3 - 4","SysAdmin / DevOps","Full-Time",2,34285.7142857143,"M",0
"18 - 20","CABA","1 - 2","Menos de un año","Developer","Full-Time",4,13800,"M",0
"31 - 33","CABA","5 - 7","Menos de un año","SysAdmin / DevOps","Full-Time",4,32000,"M",1
"27 - 30","GBA","5 - 7","5 - 6","Developer","Full-Time",2,15428.5714285714,"M",0
"18 - 20","CABA","1 - 2","1 - 2","Soporte técnico","Part-Time",3,12142.8571428571,"M",0
"24 - 26","CABA","3 - 5","Menos de un año","Developer","Full-Time",3,15500,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,24000,"M",0
"41 - 45","GBA","10+","8 - 9","SysAdmin / DevOps","Full-Time",4,25714.2857142857,"M",0
"37 - 40","CABA","10+","2 - 3","SysAdmin / DevOps","Full-Time",4,33571.4285714286,"M",0
"27 - 30","CABA","8 - 10","4 - 5","HelpDesk","Full-Time",3,29251.4285714286,"M",0
"37 - 40","Rio Negro","8 - 10","9 - 10","Networking","Part-Time",3,37000,"M",0
"21 - 23","CABA","3 - 5","1 - 2","HelpDesk","Full-Time",3,24285.7142857143,"M",0
"31 - 33","CABA","8 - 10","4 - 5","Developer","Full-Time",3,33000,"M",0
"27 - 30","Cordoba","5 - 7","3 - 4"," analista funcional","Full-Time",1,25714.2857142857,"F",0
"31 - 33","CABA","10+","2 - 3","IT","Full-Time",1,18571.4285714286,"M",0
"24 - 26","GBA","5 - 7","1 - 2","reparacion y ensablado de pc redes mantenimiento de pc y redes ","Full-Time",2,6500,"M",0
"24 - 26","GBA","5 - 7","5 - 6","HelpDesk","Full-Time",2,17785.7142857143,"M",0
"18 - 20","CABA","1 - 2","Menos de un año","HelpDesk","Full-Time",2,14285.7142857143,"M",0
"21 - 23","CABA","3 - 5","3 - 4","HelpDesk","Full-Time",3,12000,"M",0
"50+","GBA","10+","4 - 5","Developer","Full-Time",3,20000,"M",0
"24 - 26","GBA","Menos de un año","Menos de un año","HelpDesk","Part-Time",3,7000,"M",0
"34 - 36","CABA","10+","1 - 2","It Architect","Full-Time",3,25000,"M",0
"27 - 30","Santa Fe","3 - 5","4 - 5","Developer","Full-Time",5,28357.1428571429,"M",0
"24 - 26","Cordoba","1 - 2","1 - 2","HelpDesk","Part-Time",4,13142.8571428571,"M",0
"27 - 30","Cordoba","5 - 7","5 - 6","Networking","Full-Time",1,24285.7142857143,"M",0
"24 - 26","CABA","3 - 5","1 - 2","Developer","Full-Time",3,16571.4285714286,"M",0
"46 - 49","Santa Fe","10+","10+","Docente","Full-Time",4,50000,"M",0
